audio,text
data/clips/train_augmented/opera_002_orig.wav,众将士听我把令行
data/clips/train_augmented/opera_002_pitch_p1.wav,众将士听我把令行
data/clips/train_augmented/opera_002_pitch_m1.wav,众将士听我把令行
data/clips/train_augmented/opera_002_pitch_p2.wav,众将士听我把令行
data/clips/train_augmented/opera_002_pitch_m2.wav,众将士听我把令行
data/clips/train_augmented/opera_002_stretch_095.wav,众将士听我把令行
data/clips/train_augmented/opera_002_stretch_105.wav,众将士听我把令行
data/clips/train_augmented/opera_002_pitch_p1_stretch_095.wav,众将士听我把令行
data/clips/train_augmented/opera_002_pitch_m1_stretch_105.wav,众将士听我把令行
data/clips/train_augmented/opera_004_orig.wav,孤与项羽征战十数余载屡屡不能得胜今番出兵元帅计将安出
data/clips/train_augmented/opera_004_pitch_p1.wav,孤与项羽征战十数余载屡屡不能得胜今番出兵元帅计将安出
data/clips/train_augmented/opera_004_pitch_m1.wav,孤与项羽征战十数余载屡屡不能得胜今番出兵元帅计将安出
data/clips/train_augmented/opera_004_pitch_p2.wav,孤与项羽征战十数余载屡屡不能得胜今番出兵元帅计将安出
data/clips/train_augmented/opera_004_pitch_m2.wav,孤与项羽征战十数余载屡屡不能得胜今番出兵元帅计将安出
data/clips/train_augmented/opera_004_stretch_095.wav,孤与项羽征战十数余载屡屡不能得胜今番出兵元帅计将安出
data/clips/train_augmented/opera_004_stretch_105.wav,孤与项羽征战十数余载屡屡不能得胜今番出兵元帅计将安出
data/clips/train_augmented/opera_004_pitch_p1_stretch_095.wav,孤与项羽征战十数余载屡屡不能得胜今番出兵元帅计将安出
data/clips/train_augmented/opera_004_pitch_m1_stretch_105.wav,孤与项羽征战十数余载屡屡不能得胜今番出兵元帅计将安出
