audio,text
data/clips/train_augmented/opera_002_orig.wav,众将士听我把令行
data/clips/train_augmented/opera_002_pitch_p1.wav,众将士听我把令行
data/clips/train_augmented/opera_002_pitch_m1.wav,众将士听我把令行
data/clips/train_augmented/opera_002_pitch_p2.wav,众将士听我把令行
data/clips/train_augmented/opera_002_pitch_m2.wav,众将士听我把令行
data/clips/train_augmented/opera_002_stretch_095.wav,众将士听我把令行
data/clips/train_augmented/opera_002_stretch_105.wav,众将士听我把令行
data/clips/train_augmented/opera_002_pitch_p1_stretch_095.wav,众将士听我把令行
data/clips/train_augmented/opera_002_pitch_m1_stretch_105.wav,众将士听我把令行
data/clips/train_augmented/opera_004_orig.wav,孤与项羽征战十数余载屡屡不能得胜今番出兵元帅计将安出
data/clips/train_augmented/opera_004_pitch_p1.wav,孤与项羽征战十数余载屡屡不能得胜今番出兵元帅计将安出
data/clips/train_augmented/opera_004_pitch_m1.wav,孤与项羽征战十数余载屡屡不能得胜今番出兵元帅计将安出
data/clips/train_augmented/opera_004_pitch_p2.wav,孤与项羽征战十数余载屡屡不能得胜今番出兵元帅计将安出
data/clips/train_augmented/opera_004_pitch_m2.wav,孤与项羽征战十数余载屡屡不能得胜今番出兵元帅计将安出
data/clips/train_augmented/opera_004_stretch_095.wav,孤与项羽征战十数余载屡屡不能得胜今番出兵元帅计将安出
data/clips/train_augmented/opera_004_stretch_105.wav,孤与项羽征战十数余载屡屡不能得胜今番出兵元帅计将安出
data/clips/train_augmented/opera_004_pitch_p1_stretch_095.wav,孤与项羽征战十数余载屡屡不能得胜今番出兵元帅计将安出
data/clips/train_augmented/opera_004_pitch_m1_stretch_105.wav,孤与项羽征战十数余载屡屡不能得胜今番出兵元帅计将安出
data/clips/train_augmented/opera_005_orig.wav,臣启主公那项羽自恃甚勇如今势孤力弱坚守不战四处求援倘若援兵到此我军恐难取胜
data/clips/train_augmented/opera_005_pitch_p1.wav,臣启主公那项羽自恃甚勇如今势孤力弱坚守不战四处求援倘若援兵到此我军恐难取胜
data/clips/train_augmented/opera_005_pitch_m1.wav,臣启主公那项羽自恃甚勇如今势孤力弱坚守不战四处求援倘若援兵到此我军恐难取胜
data/clips/train_augmented/opera_005_pitch_p2.wav,臣启主公那项羽自恃甚勇如今势孤力弱坚守不战四处求援倘若援兵到此我军恐难取胜
data/clips/train_augmented/opera_005_pitch_m2.wav,臣启主公那项羽自恃甚勇如今势孤力弱坚守不战四处求援倘若援兵到此我军恐难取胜
data/clips/train_augmented/opera_005_stretch_095.wav,臣启主公那项羽自恃甚勇如今势孤力弱坚守不战四处求援倘若援兵到此我军恐难取胜
data/clips/train_augmented/opera_005_stretch_105.wav,臣启主公那项羽自恃甚勇如今势孤力弱坚守不战四处求援倘若援兵到此我军恐难取胜
data/clips/train_augmented/opera_005_pitch_p1_stretch_095.wav,臣启主公那项羽自恃甚勇如今势孤力弱坚守不战四处求援倘若援兵到此我军恐难取胜
data/clips/train_augmented/opera_005_pitch_m1_stretch_105.wav,臣启主公那项羽自恃甚勇如今势孤力弱坚守不战四处求援倘若援兵到此我军恐难取胜
data/clips/train_augmented/opera_003_orig.wav,我本是卧龙岗散淡的人
data/clips/train_augmented/opera_003_pitch_p1.wav,我本是卧龙岗散淡的人
data/clips/train_augmented/opera_003_pitch_m1.wav,我本是卧龙岗散淡的人
data/clips/train_augmented/opera_003_pitch_p2.wav,我本是卧龙岗散淡的人
data/clips/train_augmented/opera_003_pitch_m2.wav,我本是卧龙岗散淡的人
data/clips/train_augmented/opera_003_stretch_095.wav,我本是卧龙岗散淡的人
data/clips/train_augmented/opera_003_stretch_105.wav,我本是卧龙岗散淡的人
data/clips/train_augmented/opera_003_pitch_p1_stretch_095.wav,我本是卧龙岗散淡的人
data/clips/train_augmented/opera_003_pitch_m1_stretch_105.wav,我本是卧龙岗散淡的人
data/clips/train_augmented/opera_007_orig.wav,大英雄盖世无敌灭赢秦废楚帝
data/clips/train_augmented/opera_007_pitch_p1.wav,大英雄盖世无敌灭赢秦废楚帝
data/clips/train_augmented/opera_007_pitch_m1.wav,大英雄盖世无敌灭赢秦废楚帝
data/clips/train_augmented/opera_007_pitch_p2.wav,大英雄盖世无敌灭赢秦废楚帝
data/clips/train_augmented/opera_007_pitch_m2.wav,大英雄盖世无敌灭赢秦废楚帝
data/clips/train_augmented/opera_007_stretch_095.wav,大英雄盖世无敌灭赢秦废楚帝
data/clips/train_augmented/opera_007_stretch_105.wav,大英雄盖世无敌灭赢秦废楚帝
data/clips/train_augmented/opera_007_pitch_p1_stretch_095.wav,大英雄盖世无敌灭赢秦废楚帝
data/clips/train_augmented/opera_007_pitch_m1_stretch_105.wav,大英雄盖世无敌灭赢秦废楚帝
